,name,img,link,color
25,ブロット(Belote),https://x.boardgamearena.net/data/themereleases/200422-1124/games/belote/181010-1103/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=belote,"[2.2963501526723604, 1.769812418194988, 1.6648974843444933]"
26,コルト・エクスプレス(ColtExpress),https://x.boardgamearena.net/data/themereleases/200422-1124/games/coltexpress/181010-1104/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=coltexpress,"[3.099590087573688, 2.0530091298575286, 1.4915222656974692]"
27,ツォルキン(Tzolk'in),https://x.boardgamearena.net/data/themereleases/200422-1124/games/tzolkin/190510-1402/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=tzolkin,"[17.206599137490024, 90.43877244007436, 111.40898605957085]"
28,東海道(Tokaido),https://x.boardgamearena.net/data/themereleases/200422-1124/games/tokaido/200221-1844/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=tokaido,"[251.21546012268522, 251.68237218812618, 248.83623721881162]"
29,トック(Tock),https://x.boardgamearena.net/data/themereleases/200422-1124/games/toc/200421-1701/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=toc,"[236.54281987096095, 216.91372562845748, 193.9625568522395]"
30,ハーツ(Hearts),https://x.boardgamearena.net/data/themereleases/200422-1124/games/hearts/160920-1147/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=hearts,"[1.7791847355155852, 1.022434229572653, 0.8979473836558896]"
31,ロシアンレールロード(RussianRailroads),https://x.boardgamearena.net/data/themereleases/200422-1124/games/russianrailroads/200224-1831/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=russianrailroads,"[1.3837176403751812, 0.8987126892164241, 1.5414485782939877]"
32,フォー・セール(ForSale),https://x.boardgamearena.net/data/themereleases/200422-1124/games/forsale/200218-1002/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=forsale,"[103.19119327032915, 114.60245092948261, 70.78533596427164]"
33,レッド7(Red7),https://x.boardgamearena.net/data/themereleases/200422-1124/games/redsevengame/200309-0947/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=redsevengame,"[3.2156147560007113, 3.210351355107292, 6.081952075337412]"
34,インカの黄金(IncanGold),https://x.boardgamearena.net/data/themereleases/200422-1124/games/incangold/200224-1752/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=incangold,"[3.286366644616315, 3.8421575115942446, 1.670880211784521]"
35,イノベーション(Innovation),https://x.boardgamearena.net/data/themereleases/200422-1124/games/innovation/200127-1823/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=innovation,"[0.0528156384501699, 0.020534433300412047, 0.007980631259954407]"
36,バックギャモン,https://x.boardgamearena.net/data/themereleases/200422-1124/games/backgammon/200213-1219/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=backgammon,"[210.06217450525114, 139.58264562134477, 73.15135005207594]"
37,クー(Coup),https://x.boardgamearena.net/data/themereleases/200422-1124/games/coupcitystate/200421-0449/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=coupcitystate,"[251.5527406291361, 230.41523827463055, 171.99011113205285]"
38,ミラーズホロウの人狼(TheWerewolvesofMiller'sHollow),https://x.boardgamearena.net/data/themereleases/200422-1124/games/werewolves/200221-2130/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=werewolves,"[1.992328914598474, 1.9369490612954152, 5.477558710718277]"
39,中世の建築士たち,https://x.boardgamearena.net/data/themereleases/200422-1124/games/thebuilders/170724-1654/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=thebuilders,"[101.00593866335672, 68.94655202978214, 42.88849494771042]"
40,バブリーポップ(BubbleePop),https://x.boardgamearena.net/data/themereleases/200422-1124/games/bubbleepop/200214-1808/img/game_box180.png,https://ja.boardgamearena.com/gamepanel?game=bubbleepop,"[0.9299202685785701, 1.3748216533943491, 1.030717582855516]"
